surface,capability_group,capability_item,design_required,current_console_state,gateway_northbound_status,client_runtime_status,realtime_status,verdict,priority,notes,evidence,support_bucket,support_detail,active_frontend_entry,active_frontend_state,active_frontend_detail,active_frontend_evidence
Thread Hub,Thread Lifecycle,List threads,yes,live,implemented,implemented,thread.updated,ready,P0,Thread Hub active list depends on thread snapshots and thread.updated refresh.,console/src/design/pages/thread-hub-page.tsx#L13;console/src/gateway/use-thread-hub.ts#L18;gateway/internal/api/server.go#L561;client/internal/agent/types/interfaces.go#L114,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,当前 active Console 直接从 Gateway threads/machines 数据渲染线程列表,console/src/design-host/use-console-host.ts;console/src/design-source/components/MachinePanel.tsx
Thread Hub,Thread Lifecycle,Create thread,yes,live,implemented,implemented,thread.updated,ready,P0,Create flow is fully wired from Console to Gateway to client runtime.,console/src/design/pages/thread-hub-page.tsx#L47;console/src/gateway/use-thread-hub.ts#L60;gateway/internal/api/server.go#L639;client/cmd/client/main.go#L800,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,当前新建线程弹窗真实提交 machineId+agentId+title 到 Gateway,console/src/design-host/use-console-host.ts;console/src/design-source/components/MachinePanel.tsx
Thread Hub,Thread Lifecycle,Resume thread,yes,live,implemented,implemented,thread.updated,ready,P0,"Resume is a real command path, not a local UI action.",console/src/design/pages/thread-hub-page.tsx#L106;console/src/gateway/use-thread-hub.ts#L92;gateway/internal/api/server.go#L682;client/cmd/client/main.go#L820,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,not_in_active_frontend,当前激活前端没有 resume 入口,console/src/design-source/App.tsx#L251
Thread Hub,Thread Lifecycle,Archive thread,yes,live,implemented,implemented,thread.updated,ready,P0,Archive has a full command path and updates the thread index.,console/src/design/pages/thread-hub-page.tsx#L114;console/src/gateway/use-thread-hub.ts#L77;gateway/internal/api/server.go#L727;client/cmd/client/main.go#L852,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,not_in_active_frontend,当前激活前端没有 archive 入口,console/src/design-source/App.tsx#L251
Thread Hub,Thread Lifecycle,Delete thread,yes,live,implemented,not_native,thread.updated,partial,P0,Current delete is Gateway-side soft delete with best-effort archive first; there is no client-side thread.delete command.,console/src/design/pages/thread-hub-page.tsx#L121;console/src/gateway/use-thread-hub.ts#L107;gateway/internal/api/server.go#L765;client/cmd/client/main.go#L794,已具备接口支撑,当前以 Gateway 软删除支撑 并非 runtime 原生删除,design_source_app,gateway_backed_rendered,当前左侧线程删除动作真实调用 Gateway 线程删除接口,console/src/design-host/use-console-host.ts;console/src/design-source/components/ThreadItem.tsx
Thread Hub,Machine Routing,List machines for suggestions,yes,live,implemented,implemented,machine.updated,ready,P0,Thread create form reads machine list and refreshes on machine.updated.,console/src/design/pages/thread-hub-page.tsx#L56;console/src/gateway/use-thread-hub.ts#L18;gateway/internal/api/server.go#L503;gateway/internal/websocket/client_hub.go#L837,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,当前新建线程弹窗从 Gateway 机器清单和 agent inventory 中选择目标,console/src/design-host/use-console-host.ts;console/src/design-source/components/MachinePanel.tsx
Thread Workspace,Workspace Read,Read thread detail,yes,live,implemented,implemented,thread.updated,ready,P0,Gateway prefers live thread.read when machine is online and falls back to indexed snapshot.,console/src/gateway/use-thread-workspace.ts#L57;gateway/internal/api/server.go#L572;client/internal/agent/codex/threads.go#L9,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,当前工作区直接使用 Gateway workspace view-model,console/src/design-host/use-console-host.ts;console/src/gateway/use-thread-workspace.ts
Thread Workspace,Workspace Read,Read machine summary for selected thread,yes,live,implemented,implemented,machine.updated,ready,P0,Workspace header loads machine detail separately after thread detail.,console/src/design/pages/thread-workspace-page-view.tsx#L52;console/src/gateway/use-thread-workspace.ts#L91;gateway/internal/api/server.go#L507,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,当前工作区头部显示来自 Gateway 的 machine summary,console/src/design-host/use-console-host.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Workspace Read,Read active turn id,yes,live,implemented,implemented,turn.started;turn.completed;turn.failed,ready,P0,"Active turn comes from ClientHub state, not from a persisted turn history API.",console/src/gateway/use-thread-workspace.ts#L70;gateway/internal/api/server.go#L587;gateway/internal/websocket/client_hub.go#L123,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active turn 状态由 Gateway workspace hook 驱动,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Approvals,Read pending approvals,yes,live,implemented,implemented,approval.required;approval.resolved,ready,P0,Pending approvals are returned in thread detail and updated from live events.,console/src/design/pages/thread-workspace-page-view.tsx#L89;console/src/gateway/use-thread-workspace.ts#L64;gateway/internal/api/server.go#L583;client/cmd/client/main.go#L676,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,审批卡片由 Gateway workspace hook 注入当前工作区,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
